class,recall
Apple___Apple_scab,0.915789
Apple___Black_rot,0.989362
Apple___Cedar_apple_rust,1.000000
Apple___healthy,0.991935
Blueberry___healthy,0.991150
Cherry___Powdery_mildew,0.987421
Cherry___healthy,0.984496
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.923077
Corn___Common_rust,0.988889
Corn___Northern_Leaf_Blight,0.812081
Corn___healthy,1.000000
Grape___Black_rot,0.926554
Grape___Esca_(Black_Measles),0.985577
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.993827
Grape___healthy,1.000000
Orange___Haunglongbing_(Citrus_greening),0.998791
Peach___Bacterial_spot,0.985549
Peach___healthy,0.981818
"Pepper,_bell___Bacterial_spot",0.986755
"Pepper,_bell___healthy",0.968610
Potato___Early_blight,0.960000
Potato___Late_blight,0.906667
Potato___healthy,0.750000
Raspberry___healthy,1.000000
Soybean___healthy,0.998691
Squash___Powdery_mildew,0.996377
Strawberry___Leaf_scorch,0.988024
Strawberry___healthy,1.000000
Tomato___Bacterial_spot,0.956250
Tomato___Early_blight,0.773333
Tomato___Late_blight,0.874564
Tomato___Leaf_Mold,0.944444
Tomato___Septoria_leaf_spot,0.812734
Tomato___Spider_mites Two-spotted_spider_mite,0.880952
Tomato___Target_Spot,0.882075
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.988820
Tomato___Tomato_mosaic_virus,0.982456
Tomato___healthy,0.958333
