epoch,train_loss,train_acc,val_loss,val_acc,bad_epochs,is_best,lr
1,0.8014510538559712,0.8255125404637208,0.3118964538632584,0.9234838233485053,0,1,0.001
2,0.27665539654702936,0.929362844435087,0.22444253191965974,0.9376307048837496,0,1,0.001
3,0.2132076265719165,0.9409427060031055,0.18975628202654826,0.942674375691967,0,1,0.001
4,0.18666737865820637,0.9464168223807142,0.17879843729038214,0.942674375691967,0,1,0.001
5,0.16569841638774901,0.9501276416559202,0.16075083920609554,0.9480870955837126,0,1,0.001
6,0.15328451051606495,0.9535226465247256,0.1411018734785233,0.9544839463648666,0,1,0.001
7,0.1453064126054102,0.9548385398847278,0.1452439378562988,0.9515315536966417,1,0,0.001
8,0.13635635755025366,0.9571018764639314,0.1365172502907035,0.9547299790872186,0,1,0.001
9,0.13590140178763158,0.9569702871279312,0.1317507789083961,0.9555910936154508,0,1,0.001
10,0.12776273430094962,0.9597862989183357,0.1267127490957938,0.956206175421331,0,1,0.001
11,0.12194756401505355,0.9609442850751375,0.12669989358537978,0.9579284044777956,0,1,0.001
12,0.12033783619554808,0.9607337421375372,0.1329697520932214,0.9538688645589863,1,0,0.001
13,0.11974534598636599,0.9602073847935363,0.12370063232746938,0.9569442735883873,0,1,0.001
14,0.11545548626430618,0.9622864963023396,0.13737000689087606,0.952638700947226,1,0,0.001
15,0.11264999189226113,0.961891728294339,0.11673499992979867,0.9598966662566121,0,1,0.001
16,0.1112964928093705,0.9633655288575413,0.12434483918239982,0.9568212572272112,1,0,0.001
17,0.11209646765644947,0.9622601784351397,0.1154101542739647,0.9597736498954361,0,1,0.001
18,0.1077072713700088,0.9641550648735426,0.11350571102307928,0.959281584450732,0,1,0.001
19,0.10372145194244105,0.9644708792799431,0.12014824031742315,0.9614958789519006,1,0,0.001
20,0.10665332464417976,0.9647340579519436,0.11841449251116665,0.9601426989789642,2,0,0.001
